id,value
flare.2.yo,21
flare.3.kab,21
flare.4.btw,,21
flare.7.there's,21
flare.3.ooh,21
flare.5.pehle,21
flare.5.every,21
flare.7.picture,21
flare.4.week,21
flare.4.yaha,21
